"DeptCodeDW","Province","2010-11","2011-12","2010-11","2011-12","2012-13"
"CICS","NU",0,0,0,0,0
"CICS","NT",0,0,0,0,0
"CICS","YT",0,0,0,0,0
"CICS","BC",0,0,0,0,0
"CICS","AB",0,0,0,0,0
"CICS","SK",0,0,0,0,0
"CICS","MB",0,0,0,0,0
"CICS","NCR ON",24,21,24,21,23
"CICS","NCR QC",0,0,0,0,0
"CICS","ON (minus NCR)",0,0,0,0,0
"CICS","QC (minus NCR)",0,0,0,0,0
"CICS","NB",0,0,0,0,0
"CICS","NS",0,0,0,0,0
"CICS","PE",0,0,0,0,0
"CICS","NL",0,0,0,0,0
"CICS","Abroad",0,0,0,0,0
"CIDA","NU",0,0,0,0,0
"CIDA","NT",0,0,0,0,0
"CIDA","YT",0,0,0,0,0
"CIDA","BC",1,1,1,1,0
"CIDA","AB",2,2,2,2,0
"CIDA","SK",0,0,0,0,0
"CIDA","MB",2,1,2,1,0
"CIDA","NCR ON",0,0,0,0,0
"CIDA","NCR QC",1768,1645,1768,1645,1409
"CIDA","ON (minus NCR)",0,0,0,0,0
"CIDA","QC (minus NCR)",9,8,9,8,4
"CIDA","NB",2,2,2,2,0
"CIDA","NS",0,0,0,0,0
"CIDA","PE",0,0,0,0,0
"CIDA","NL",0,0,0,0,0
"CIDA","Abroad",196,184,196,184,182
"CIHR","NU",0,0,0,0,0
"CIHR","NT",0,0,0,0,0
"CIHR","YT",0,0,0,0,0
"CIHR","BC",0,0,0,0,0
"CIHR","AB",0,0,0,0,0
"CIHR","SK",0,0,0,0,0
"CIHR","MB",0,0,0,0,0
"CIHR","NCR ON",463,424,463,424,394
"CIHR","NCR QC",0,0,0,0,0
"CIHR","ON (minus NCR)",0,0,0,0,0
"CIHR","QC (minus NCR)",0,0,0,0,0
"CIHR","NB",0,0,0,0,0
"CIHR","NS",0,0,0,0,0
"CIHR","PE",0,0,0,0,0
"CIHR","NL",0,0,0,0,0
"CIHR","Abroad",0,0,0,0,0
"CIRB","NU",0,0,0,0,0
"CIRB","NT",0,0,0,0,0
"CIRB","YT",0,0,0,0,0
"CIRB","BC",5,4,5,4,3
"CIRB","AB",0,0,0,0,0
"CIRB","SK",0,0,0,0,0
"CIRB","MB",2,2,2,2,2
"CIRB","NCR ON",75,63,75,63,67
"CIRB","NCR QC",0,0,0,0,0
"CIRB","ON (minus NCR)",6,6,6,6,6
"CIRB","QC (minus NCR)",11,10,11,10,11
"CIRB","NB",0,0,0,0,0
"CIRB","NS",3,4,3,4,2
"CIRB","PE",0,0,0,0,0
"CIRB","NL",0,0,0,0,0
"CIRB","Abroad",0,0,0,0,0
"CITT","NU",0,0,0,0,0
"CITT","NT",0,0,0,0,0
"CITT","YT",0,0,0,0,0
"CITT","BC",0,0,0,0,0
"CITT","AB",0,0,0,0,0
"CITT","SK",0,0,0,0,0
"CITT","MB",0,0,0,0,0
"CITT","NCR ON",81,77,81,77,73
"CITT","NCR QC",0,0,0,0,0
"CITT","ON (minus NCR)",0,0,0,0,0
