"DeptCodeDW","Age Band","2010-11","2011-12","2010-11","2011-12","2012-13"
"CTA","Missing",0,0,0,0,0
"CTAIB","< 20",0,0,0,0,0
"CTAIB","20-24",1,1,1,1,1
"CTAIB","25-29",8,7,8,7,8
"CTAIB","30-34",18,15,18,15,10
"CTAIB","35-39",19,16,19,16,17
"CTAIB","40-44",21,24,21,24,25
"CTAIB","45-49",46,41,46,41,30
"CTAIB","50-54",39,40,39,40,45
"CTAIB","55-59",33,42,33,42,42
"CTAIB","60-64",17,19,17,19,17
"CTAIB","65-69",9,10,9,10,6
"CTAIB","70 +",0,1,0,1,1
"CTAIB","Missing",0,0,0,0,0
"EA","< 20",14,24,14,24,10
"EA","20-24",300,327,300,327,301
"EA","25-29",909,829,909,829,666
"EA","30-34",1287,1256,1287,1256,1209
"EA","35-39",1084,1178,1084,1178,1208
"EA","40-44",991,1017,991,1017,1028
"EA","45-49",968,976,968,976,948
"EA","50-54",906,894,906,894,889
"EA","55-59",661,632,661,632,610
"EA","60-64",300,327,300,327,301
"EA","65-69",71,78,71,78,82
"EA","70 +",9,17,9,17,17
"EA","Missing",0,0,0,0,0
"EC","< 20",35,43,35,43,34
"EC","20-24",368,366,368,366,334
"EC","25-29",746,585,746,585,561
"EC","30-34",903,803,903,803,736
"EC","35-39",1002,975,1002,975,956
"EC","40-44",952,908,952,908,872
"EC","45-49",1101,1044,1101,1044,954
"EC","50-54",1065,1018,1065,1018,986
"EC","55-59",646,686,646,686,658
"EC","60-64",278,264,278,264,244
"EC","65-69",53,62,53,62,67
"EC","70 +",11,8,11,8,6
"EC","Missing",0,0,0,0,0
"ERC","< 20",0,0,0,0,0
"ERC","20-24",0,0,0,0,0
"ERC","25-29",1,0,1,0,0
"ERC","30-34",0,0,0,0,1
"ERC","35-39",1,1,1,1,1
"ERC","40-44",1,1,1,1,1
"ERC","45-49",0,0,0,0,1
"ERC","50-54",1,0,1,0,1
"ERC","55-59",0,1,0,1,1
"ERC","60-64",0,0,0,0,0
"ERC","65-69",0,0,0,0,0
"ERC","Missing",0,0,0,0,0
"FCAC","< 20",0,0,0,0,0
"FCAC","20-24",1,1,1,1,1
"FCAC","25-29",11,15,11,15,10
"FCAC","30-34",10,12,10,12,14
"FCAC","35-39",12,14,12,14,19
"FCAC","40-44",3,6,3,6,8
"FCAC","45-49",8,7,8,7,7
"FCAC","50-54",9,6,9,6,7
"FCAC","55-59",3,3,3,3,3
"FCAC","60-64",1,2,1,2,1
"FCAC","65-69",3,2,3,2,3
"FCAC","Missing",0,0,0,0,0
"FEDSO","< 20",0,0,0,0,2
"FEDSO","20-24",20,19,20,19,9
"FEDSO","25-29",38,42,38,42,44
"FEDSO","30-34",35,38,35,38,42
"FEDSO","35-39",24,37,24,37,28
"FEDSO","40-44",31,24,31,24,24
"FEDSO","45-49",22,26,22,26,26
"FEDSO","50-54",19,21,19,21,24
"FEDSO","55-59",10,12,10,12,13
"FEDSO","60-64",7,5,7,5,6
"FEDSO","65-69",3,1,3,1,0
