"Organizations",,"Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2012-13"
"CSC",22,"-77,793,045","-81,681,359","-77,793,045","-81,681,359","-80,116,678"
"CAS",1,"47,654,930","54,800,269","47,654,930","54,800,269","49,618,074"
"CAS",2,"2,536,110","2,559,005","2,536,110","2,559,005","2,434,139"
"CAS",3,"107,094","130,555","107,094","130,555","416,693"
"CAS",4,"7,987,744","8,849,111","7,987,744","8,849,111","8,244,271"
"CAS",5,"940,693","1,022,635","940,693","1,022,635","1,405,035"
"CAS",6,"1,074,456","747,056","1,074,456","747,056","244,875"
"CAS",7,"2,136,434","2,063,902","2,136,434","2,063,902","1,752,850"
"CAS",8,0,"616,004",0,"616,004","1,143,804"
"CAS",9,"1,178,525","2,432,954","1,178,525","2,432,954","343,297"
"CAS",12,"27,648",921,"27,648",921,"-18,830"
"FORDQ",1,"43,871,891","44,798,569","43,871,891","44,798,569","41,953,974"
"FORDQ",2,"2,043,025","1,357,104","2,043,025","1,357,104","705,162"
"FORDQ",3,"610,856","406,760","610,856","406,760","329,584"
"FORDQ",4,"6,409,026","4,947,883","6,409,026","4,947,883","4,477,780"
"FORDQ",5,"1,000,294","613,918","1,000,294","613,918","619,163"
"FORDQ",6,"72,586","37,083","72,586","37,083","35,450"
"FORDQ",7,"377,272","210,797","377,272","210,797","162,354"
"FORDQ",8,"96,124",0,"96,124",0,0
"FORDQ",9,"1,353,296","880,436","1,353,296","880,436","596,102"
"FORDQ",10,"424,152,762","252,575,814","424,152,762","252,575,814","247,508,999"
"FORDQ",12,"18,928","92,532","18,928","92,532","40,777"
